thingy	other_thingy	train_score	test_score	time taken in minutes
rf	nj10 ne100 md40	0.999999999203	0.757979894307	18.1304910501
ada	ne100	0.771119488484	0.761902969329	54.7759113471
et	ne100 md40	1.0	0.750984656413	24.5225103537
kn	2	None	None	14.6968059659
kn	2	None	None	14.6707061648
kn	2	None	None	14.5868396481
kn	4	None	None	14.8039135178
kn	8	None	None	16.1605458498
kn	16	None	None	14.4320068518
kn	32	None	None	14.3833307823
kn	64	None	None	14.7927981496
kn	128	None	None	14.2709746679
kn	256	None	None	14.2574149489
kn	512	None	None	14.5554477016
kn	1024	None	None	14.2256127636
